match_id,date,home_team,away_team,home_team_id,away_team_id,home_team_elo,away_team_elo
1640922,2023-02-11,Fulham,Forest,170,174,1721.54736328,1663.43322754
1640923,2023-03-18,Chelsea,Everton,15,31,1865.44384766,1683.12341309
1640924,2023-02-12,Leeds,Man United,19,32,1704.67468262,1864.89257812
1640925,2023-05-03,Liverpool,Fulham,26,170,1937.72924805,1715.73376465
1640926,2023-02-11,Leicester,Tottenham,14,30,1759.22631836,1869.26025391
1640927,2023-05-03,Man City,West Ham,167,29,2066.54394531,1758.51879883
1640928,2023-02-13,Liverpool,Everton,26,31,1938.7479248,1680.82421875
1640929,2023-03-17,Forest,Newcastle,174,23,1650.67224121,1839.55603027
1640930,2023-02-12,Man City,Aston Villa,167,24,2014.56054688,1752.70019531
1640931,2023-03-18,Southampton,Tottenham,18,30,1655.21032715,1851.90258789
1640932,2023-02-11,Southampton,Wolves,18,161,1644.39978027,1719.11975098
1640933,2023-03-18,Wolves,Leeds,161,19,1721.93786621,1696.69018555
1640934,2023-02-11,West Ham,Chelsea,29,15,1751.3815918,1865.20214844
1640935,2023-04-01,Arsenal,Leeds,13,19,1941.99682617,1711.10217285
1640936,2023-02-18,Aston Villa,Arsenal,24,13,1747.87512207,1915.73779297
1640937,2023-04-01,Bournemouth,Fulham,183,170,1652.8671875,1728.15014648
1640938,2023-02-18,Brentford,Crystal Palace,189,162,1788.50048828,1736.90136719
1640939,2023-04-01,Brighton,Brentford,211,189,1827.81567383,1791.73925781
1640940,2023-02-18,Brighton,Fulham,211,170,1821.66833496,1727.38024902
1640941,2023-04-01,Chelsea,Aston Villa,15,24,1859.49816895,1771.42614746
1640942,2023-02-18,Chelsea,Southampton,15,18,1856.99682617,1635.05651855
1640943,2023-04-01,Crystal Palace,Leicester,162,14,1729.00061035,1748.63720703
1640944,2023-02-18,Everton,Leeds,31,19,1675.87487793,1695.49902344
1640945,2023-04-03,Everton,Tottenham,31,30,1689.06921387,1848.05029297
1640946,2023-02-19,Man United,Leicester,32,14,1872.02050781,1773.72253418
1640947,2023-04-01,Man City,Liverpool,167,26,2041.53479004,1933.8807373
1640948,2023-02-18,Newcastle,Liverpool,23,26,1844.18054199,1939.65209961
1640949,2023-04-02,Newcastle,Man United,23,32,1843.89575195,1883.69836426
1640950,2023-02-18,Forest,Man City,174,167,1653.55529785,2024.95336914
1640951,2023-04-01,Forest,Wolves,174,161,1645.26452637,1707.52587891
1640952,2023-02-19,Tottenham,West Ham,30,29,1846.38842773,1751.38024902
1640953,2023-04-02,West Ham,Southampton,29,18,1751.74194336,1659.06262207
1640954,2023-02-18,Wolves,Bournemouth,161,183,1724.41784668,1635.07336426
1640955,2023-04-08,Aston Villa,Forest,24,174,1796.50061035,1640.35119629
1640956,2023-02-25,Bournemouth,Man City,183,167,1645.21447754,2016.31164551
1640957,2023-04-08,Brentford,Newcastle,189,23,1789.4864502,1868.8380127
1640958,2023-02-25,Crystal Palace,Liverpool,162,26,1738.09423828,1933.29162598
1640959,2023-04-08,Fulham,West Ham,170,29,1719.5736084,1742.20458984
1640960,2023-02-25,Everton,Aston Villa,31,24,1681.72937012,1739.48547363
1640961,2023-04-09,Leeds,Crystal Palace,19,162,1712.44274902,1736.19946289
1640962,2023-02-24,Fulham,Wolves,170,161,1734.62194824,1708.38146973
1640963,2023-04-08,Leicester,Bournemouth,14,183,1733.13903809,1653.85778809
1640964,2023-02-25,Leeds,Southampton,19,18,1686.67810059,1647.8293457
1640965,2023-04-09,Liverpool,Arsenal,26,13,1925.93847656,1945.83544922
1640966,2023-02-25,Leicester,Arsenal,14,13,1764.42773438,1921.16088867
1640967,2023-04-08,Man United,Everton,32,31,1877.55163574,1691.97766113
1640968,2023-04-05,Man United,Brentford,32,189,1872.78930664,1794.24890137
1640969,2023-04-08,Southampton,Man City,18,167,1654.56677246,2048.64697266
1640970,2023-05-18,Newcastle,Brighton,23,211,1864.40393066,1827.95397949
